year,season,breeding_code,observations,percentage_of_season,rank
2011,Spring,C,2,50.0,1
2011,Spring,NE,1,25.0,2
2011,Spring,NY,1,25.0,3
2011,Summer,C,2,50.0,1
2011,Summer,FL,1,25.0,2
2011,Summer,NY,1,25.0,3
2011,Fall,NY,1,100.0,1
2012,Spring,C,2,50.0,1
2012,Spring,NE,1,25.0,2
2012,Spring,ON,1,25.0,3
2013,Spring,C,1,50.0,1
2013,Spring,T,1,50.0,2
2013,Winter,C,1,100.0,1
2014,Spring,NB,3,60.0,1
2014,Spring,NE,1,20.0,2
2014,Spring,NY,1,20.0,3
2014,Summer,T,8,44.4,1
2014,Summer,FL,4,22.2,2
2014,Summer,CN,2,11.1,3